Fator;Meses;Ano;Quantidade;Und_Medida
Temperatura;Janeiro;2024;15;°C 
Condutividade Eletrica;Maio;2023;30;µS/cm
Turbidez;Abril;2022;10;NTU
pH;Fevereiro;2016;8;Ph
Temperatura;Agosto;2020;20;°C 
Temperatura;Agoso;2021;32;°C 
Temperatura;Setembro;2020;30;°C 
Temperatura;Fevereiro;2021;29;°C 
Condutividade Eletrica;Junho;2024;50;µS/cm
Turbidez;Maio ;2021;55;NTU
Turbidez;Outubro;2020;17;NTU
Condutividade Eletrica;Dezembro;2023;45;µS/cm
Nivel da Agua;Marco;24;10;m
Nivel da Agua;Julho;2023;30;m
Nivel da Agua;Abril;2024;75;m
Nivel da Agua;Fevereiro;2023;62;m
Condutividade Eletrica;Fevereiro;2024;37;µS/cm
Condutividade Eletrica;Janeiro;2022;63;µS/cm
Turbidez;Janeiro;2020;16;NTU
pH;Outubro;2021;7.5;Ph
pH;Outubro;2022;8;Ph
pH;Janeiro;2022;7.2;Ph
pH;Setembro;2022;9;Ph
Condutividade Eletrica;Outubro;2022;70;µS/cm
Temperatura;Abril;2023;22;°C 
Temperatura;Outubro;2024;20;°C 
Turbidez;Setembro;2020;23;NTU
pH;Agosto;2024;6.2;Ph
Nivel da Agua;Janeiro;2021;78;m
Nivel da Agua;Fevereiro;2021;42;m
Nivel da Agua;Junho;2021;49;m
pH;Junho;2023;6.5;Ph
Condutividade Eletrica;Julho;2022;44;µS/cm
Turbidez;Agosto;2024;30;NTU
Temperatura;Marco;2020;16;°C 
Nivel da Agua;Agosto;2022;12;m
Nivel da Agua;Outubro;2022;5;m
Nivel da Agua;Maio;2021;66;m
Condutividade Eletrica;Julho;2024;36;µS/cm
Condutividade Eletrica;Maio;2020;68;µS/cm
Condutividade Eletrica;Abril;2020;47;µS/cm
Condutividade Eletrica;Setembro;2020;33;µS/cm
pH;Abril;2021;6.9;Ph
pH;Fevereiro;2020;8.5;Ph
pH;Fevereiro;2020;7.4;Ph
pH;Julho;2020;7.7;Ph
pH;Dezembro;2021;9;Ph
Turbidez;Marco;2023;41;NTU
Turbidez;Maio;2024;14;NTU
Turbidez;Janeiro;2023;27;NTU
Turbidez;Fevereiro;2021;11;NTU
Temperatura;Marco;2021;28;°C 
Nivel da Agua;Marco;2024;73;m
Condutividade Eletrica;Novembro;2021;54;µS/cm
Oxigenio;Janeiro;2024;6.7;mg/L
Oxigenio;Outubro;2021;5.2;mg/L
Oxigenio;Setembro;2020;3.1;mg/L
Oxigenio;Agosto;2024;1.2;mg/L
Oxigenio;Agosto;2023;0.6;mg/L
Oxigenio;Janeiro;2021;9.8;mg/L
Oxigenio;Maio;2020;5.3;mg/L
